From_Bus,To_Bus,BR_R_PU,BR_X_PU,BR_B_PU,RateA_MVA,RateB_MVA,RateC_MVA,Tap,Shift,BR_Status,ANGMIN,ANGMAX,Pij,Qij,Pji,Qji
1,2,0.0122,0.02,0.0856,525,525,525,0,0,1,-360,360,215.528912389479,143.478481907414,-208.48247117205003,-141.616366840623
1,3,0.006999999999999999,0.15,0.052000000000000005,132,132,132,1,2,1,-360,360,129.094542192024,27.5426785285325,-128.055872201658,-11.2556629072912
1,2,0.0122,0.02,0.2844,525,525,525,0,0,1,-360,360,215.528912389478,131.686030938013,-208.48247117205003,-152.326933032726
1,3,0.006999999999999999,0.15,0.052000000000000005,132,132,132,1,2,1,-360,360,129.094542192024,27.5426785285325,-128.055872201658,-11.2556629072912
2,4,0.0004,0.065,0.4454,760,760,760,0,0,1,-360,360,634.278032344565,-8.38435073345014,-632.783668601844,200.275349626367
2,4,0.0004,0.065,0.5545,760,760,760,0,0,1,-360,360,634.278032344565,-14.262231878110398,-632.783668601844,193.674799642691
4,7,0.0021100000000000003,0.0135,0.1174,1090,1090,1090,0,0,1,-360,360,478.80470102932196,-68.6204214800935,-474.740974040193,80.41517054962071
4,6,0.0013,0.023,0.1496,1500,1500,1500,0,0,1,-360,360,468.117177997361,-14.613342999646498,-465.762516632137,38.1711364722365
4,6,0.0013,0.023,0.1758,1120,1120,1120,0,0,1,-360,360,468.11717799735993,-16.198442995725802,-465.762516632137,36.5860364837051
4,5,0.001,0.024,0.125,1000,1000,1000,0,0,1,-360,360,189.61546521887,-11.8893755191977,-189.31816979249803,3.8994658797673396
4,5,0.001,0.024,0.125,1000,1000,1000,0,0,1,-360,360,189.61546521887,-11.8893755191977,-189.31816979249803,3.8994658797673396
4,7,0.0021,0.0135,0.1538,1090,1090,1090,0,0,1,-360,360,478.90306056604004,-70.4832516981151,-474.85768074205595,77.87946496620829
5,6,0.00085,0.01051,0.38254,1390,1390,1390,0,0,1,-360,360,590.0758045179099,-55.59956385330089,-587.6224456881671,39.6472847077572
5,6,0.00151,0.016130000000000002,0.59296,1390,1390,1390,0,0,1,-360,360,383.76053374632005,-61.852096843382505,-381.914252917931,9.82612951495994
6,9,0.00078,0.00852,0.0737,2100,2100,2100,0,0,1,-360,360,1120.1329204406,-28.963088218698502,-1112.0409153459,108.45600399405599
6,9,0.00078,0.00852,0.4635,2100,2100,2100,0,0,1,-360,360,1120.1329204406,-52.545988048081895,-1112.0409153459,84.984287604177
7,8,0.0004,0.0001,0.728,2180,2180,2180,0,0,1,-360,360,1080.56958426568,-121.558833832019,-1076.6897852989698,34.7492030122404
7,8,0.0004,0.0001,1.2872,2500,2500,2500,0,0,1,-360,360,1080.56958426569,-155.390433501532,-1076.6897852989698,1.15450948128539
