Bus_Number,Bus_Type,PD_MW,QD_MVar,GS_MW,BS_MVar,BusArea,Vm,Va,BaseKV,LossZone,Vmax,Vmin
1,2,468.0,102.0,0,0,1,1.08920304654352,0.7624338159664179,275,1,1.1,0.9
2,2,513.0,113.0,0,0,1,1.03803745101444,0.7403364977502009,275,1,1.1,0.9
3,2,555.0,105.0,0,0,1,1.05350220672193,0.559856768897552,132,1,1.1,0.9
4,2,1308.0,317.0,0,0,1,1.09999999863974,0.37098374290720204,275,1,1.1,0.9
5,2,502.0,128.0,0,0,1,1.09999999207792,0.33332940683939194,400,1,1.1,0.9
6,2,1176.0,315.0,0,0,1,1.0999999960208502,0.281824950514715,400,1,1.1,0.9
7,2,745.0,171.0,0,0,1,1.09999999462749,0.316463630686546,400,1,1.1,0.9
8,1,117.5,37.4,0,0,1,1.09614184771885,0.315310305138983,400,1,1.1,0.9
9,1,130.0,53.0,0,0,1,1.09740391421891,0.202524773939058,400,1,1.1,0.9
10,2,2561.0,465.0,0,0,1,1.0999999903681599,0.16704847835650902,400,1,1.1,0.9
11,2,3360.0,760.0,0,0,1,1.09999998731074,0.0797886038203469,400,1,1.1,0.9
12,2,1189.0,338.0,0,0,1,1.0999999900693502,0.0715131204112657,400,1,1.1,0.9
13,1,2524.0,766.0,0,0,1,1.0883874142497498,0.0262759432529175,400,1,1.1,0.9
14,1,1831.0,566.5,0,0,1,1.09406794736638,0.0525615281639595,400,1,1.1,0.9
15,2,2633.0,694.6,0,0,1,1.09973577790172,0.0701819227614319,400,1,1.1,0.9
16,2,1607.0,655.0,0,0,1,1.09999999597195,0.0828089964049478,400,1,1.1,0.9
17,2,1081.0,371.0,0,0,1,1.08861141830362,-0.0116558739160692,400,1,1.1,0.9
18,2,5362.0,1935.0,0,0,1,1.08240806110636,-0.0206127017199184,400,1,1.1,0.9
19,2,2019.0,648.0,0,0,1,1.09999999037462,0.0348378495963092,400,1,1.1,0.9
20,2,1027.36,305.8,0,0,1,1.09902526495616,0.00976435241404258,400,1,1.1,0.9
21,2,702.0,202.2,0,0,1,1.0910297054781601,-0.00657516230193414,400,1,1.1,0.9
22,2,1820.0,665.0,0,0,1,1.08559290481755,-0.0250754051165432,400,1,1.1,0.9
23,2,4734.0,1337.0,0,0,1,1.09146837496621,-0.0339772505164599,400,1,1.1,0.9
24,1,1418.0,528.0,0,0,1,1.08612246099985,-0.0402306768630977,400,1,1.1,0.9
25,2,9734.0,2902.0,0,0,1,1.07303477513825,-0.062070482476284,400,1,1.1,0.9
26,2,1424.0,434.0,0,0,1,1.09999998615372,0.009349096435577109,400,1,1.1,0.9
27,3,457.0,138.0,0,0,1,1.0999999281669601,0.0,400,1,1.1,0.9
28,2,2751.0,841.0,0,0,1,1.0922059742006098,-0.0403288920225341,400,1,1.1,0.9
29,2,2577.0,356.0,0,0,1,1.0943583123982499,-0.0448678444289796,400,1,1.1,0.9
