Gen_Bus,Pmax_MW,Pmin_MW,Type,CostCoeff_2,CostCoeff_1,CostCoeff_0
1,554.0,277,Hydro,0.0,5.133664259927797,395.37
1,300.0,150,Pumpedstorage,0.33,155.84793333333332,86.38
1,19.0,9,Unspecified,0.0,0.010526315789473684,0.01
2,1524.0,762,CCGT_GFPP,0.0,130.26291338582678,400.68
2,12.0,6,CHP_GFPP,0.0,16.339000000000002,400.68
3,553.0,277,Hydro,0.0,5.134954792043399,395.37
3,15.0,8,Unspecified,0.0,0.010666666666666666,0.01
4,259.0,130,CHP_GFPP,0.0,13.154702702702705,400.68
4,2284.0,1142,Large_unit _coal,0.33,766.2673555166374,382.24
4,440.0,220,PumpedStorage,0.33,201.9563181818182,86.38
5,23.0,12,CCGT_GFPP,0.0,147.42086956521737,400.68
5,1074.0,537,NuclearAGR,0.0,118.08042830540037,86.38
6,33.0,17,Hydro,0.0,16.400909090909092,395.37
6,49.0,25,Unspecified,0.0,0.01020408163265306,0.01
7,1215.0,608,NuclearAGR,0.0,118.07109465020577,86.38
7,1102.0,551,Medium_unit_coal,0.39,446.52359346642476,400.68
10,1875.0,938,CCGT_GFPP,0.0,130.213696,400.68
10,1207.0,604,NuclearAGR,0.0,118.07156586578294,86.38
10,420.0,210,small_unit_coal,0.1,62.9037619047619,639.98
11,1039.0,520,CCGT_GFPP,0.0,130.38564003849854,400.68
11,155.0,78,CHP_GFPP,0.0,13.258503225806454,400.68
11,2406.0,1203,Nuclear_AGR,0.0,118.03590191188695,86.38
11,1987.0,994,Large_unit _coal,0.33,668.2823704076498,382.24
12,1885.0,943,CCGT_GFPP,0.0,130.2125623342175,400.68
12,210.0,105,CHP_GFPP,0.0,13.190800000000003,400.68
12,980.0,490,Nuclear Magnox,0.01,20.489948979591837,382.15
12,2004.0,1002,Pumpedstorage,0.33,717.9231037924151,86.38
15,7832.0,3916,Large_unit _coal,0.33,2596.988804902962,382.24
16,7040.0,3520,CCGT_GFPP,0.0,130.05691477272728,400.68
16,1218.0,609,CHP_GFPP,0.0,13.03289655172414,400.68
16,3987.0,1994,Large_unit _coal,0.33,1328.1858715826436,382.24
17,2021.0,1011,Large_unit _coal,0.33,679.4991340920336,382.24
18,228.0,114,CHP_GFPP,0.0,13.175736842105264,400.68
18,1982.0,991,Large_unit _coal,0.33,666.6328557013119,382.24
19,2845.0,1423,CCGT_GFPP,0.0,130.14083655536027,400.68
19,407.0,203,Unspecified,0.0,0.010024570024570025,0.01
20,1200.0,600,NuclearPWR,0.01,22.62679166666667,392.15
20,360.0,180,Unspecified,0.0,0.010027777777777778,0.01
21,665.0,333,CCGT_GFPP,0.0,130.60252631578948,400.68
22,401.0,201,CCGT_GFPP,0.0,130.99920199501247,400.68
23,4431.0,2216,CCGT_GFPP,0.0,130.09042654028437,400.68
23,100.0,50,OCGT_GFPP,0.0,204.75,650.0
23,3801.0,1901,Large_unit _coal,0.33,1266.8105630097346,382.24
23,363.0,182,small_unit_coal,0.1,57.443030303030305,639.98
23,470.0,235,NuclearMagnox,0.01,15.813085106382978,382.15
25,2123.0,1062,CCGT_GFPP,0.0,130.18873292510597,400.68
25,1245.0,623,Oil,0.33,423.2242248995984,665.11
26,3165.0,1583,CCGT_GFPP,0.0,130.1265971563981,400.68
26,1966.0,983,Large_unit _coal,0.33,661.3544252288913,382.24
26,1131.0,566,Medium_unit_coal,0.39,457.82427055702925,400.68
26,1355.0,678,Oil,0.33,459.4808560885608,665.11
27,1081.0,541,NuclearAGR,0.0,118.07990749306198,86.38
28,1320.0,660,CCGT_GFPP,0.0,130.30354545454546,400.68
28,208.0,104,CHP_GFPP,0.0,13.192634615384618,400.68
29,905.0,453,CCGT_GFPP,0.0,130.4427403314917,400.68
29,140.0,70,OCGT_GFPP,0.0,201.96428571428572,650.0
29,1261.0,631,NuclearAGR,0.0,118.06850118953213,86.38
