,Gen_Bus,Pmax_MW,Pmin_MW,Type,CostCoeff_2,CostCoeff_1,CostCoeff_0,Gas_Node,Eff,FuelType,Power_to_Gas_Norm,Coupled_RES,ShedWeight,AddWeight,DC_OPF_RES,DC_RO_OPF_P_UB,DC_RO_OPF_P_LB
Gen1,Bus1,554.0,277,Hydro,0.0,5.133664259927797,395.37,,,,,554.0,6.0,52.0,554.0,,
Gen2,Bus1,300.0,150,Pumpedstorage,0.33,155.84793333333332,86.38,,,,,150.0,41.0,17.0,150.0,,
Gen3,Bus1,19.0,9,Unspecified,0.0,0.010526315789473684,0.01,,,,,19.0,4.0,54.0,19.0,,
Gen4,Bus2,1524.0,762,CCGT_GFPP,0.0,130.26291338582678,400.68,Node2,0.4,Gas,0.005,1259.86527949,34.0,24.0,762.0,1524.0,762.0
Gen5,Bus2,12.0,6,CHP_GFPP,0.0,16.339000000000002,400.68,,,,,12.0,15.0,43.0,12.0,,
Gen6,Bus3,553.0,277,Hydro,0.0,5.134954792043398,395.37,,,,,553.0,7.0,51.0,553.0,,
Gen7,Bus3,15.0,8,Unspecified,0.0,0.010666666666666666,0.01,,,,,15.0,5.0,53.0,15.0,,
Gen8,Bus4,259.0,130,CHP_GFPP,0.0,13.154702702702705,400.68,,,,,259.0,9.0,49.0,259.0,,
Gen9,Bus4,2284.0,1142,Large_unit _coal,0.33,766.2673555166374,382.24,,,,,1142.0,54.0,4.0,1142.0,,
Gen10,Bus4,440.0,220,PumpedStorage,0.33,201.9563181818182,86.38,,,,,220.0,42.0,16.0,220.0,,
Gen11,Bus5,23.0,12,CCGT_GFPP,0.0,147.42086956521737,400.68,,,,,12.0,40.0,18.0,12.0,,
Gen12,Bus5,1074.0,537,NuclearAGR,0.0,118.08042830540035,86.38,,,,,1074.0,26.0,32.0,1074.0,,
Gen13,Bus6,33.0,17,Hydro,0.0,16.400909090909092,395.37,,,,,33.0,16.0,42.0,33.0,,
Gen14,Bus6,49.0,25,Unspecified,0.0,0.010204081632653059,0.01,,,,,49.0,3.0,55.0,49.0,,
Gen15,Bus7,1215.0,608,NuclearAGR,0.0,118.07109465020577,86.38,,,,,1215.0,23.0,35.0,1215.0,,
Gen16,Bus7,1102.0,551,Medium_unit_coal,0.39,446.5235934664248,400.68,,,,,551.0,46.0,12.0,551.0,,
Gen17,Bus10,1875.0,938,CCGT_GFPP,0.0,130.213696,400.68,Node10,0.4,Gas,0.005,938.0,33.0,25.0,938.0,1875.0,938.0
Gen18,Bus10,1207.0,604,NuclearAGR,0.0,118.07156586578293,86.38,,,,,1207.0,24.0,34.0,1207.0,,
Gen19,Bus10,420.0,210,small_unit_coal,0.1,62.90376190476189,639.98,,,,,420.0,20.0,38.0,420.0,,
